num_seqs,ctx_len,block_size,fragmentation,latency_ms,degradation_pct
1,4096,16,0.0,0.5594,0.0
1,4096,16,0.25,0.5522,-1.3
1,4096,16,0.5,0.5523,-1.27
1,4096,16,0.75,0.5599,0.08
1,4096,16,1.0,0.5596,0.03
1,16384,16,0.0,2.1486,0.0
1,16384,16,0.25,2.1321,-0.77
1,16384,16,0.5,2.1105,-1.77
1,16384,16,0.75,2.1254,-1.08
1,16384,16,1.0,2.1315,-0.8
1,4096,32,0.0,0.5642,0.0
1,4096,32,0.25,0.5662,0.36
1,4096,32,0.5,0.5628,-0.25
1,4096,32,0.75,0.5644,0.04
1,4096,32,1.0,0.5973,5.86
1,16384,32,0.0,2.1029,0.0
1,16384,32,0.25,2.1394,1.74
1,16384,32,0.5,2.139,1.72
1,16384,32,0.75,2.1261,1.1
1,16384,32,1.0,2.115,0.58
8,4096,16,0.0,1.5515,0.0
8,4096,16,0.25,1.5628,0.73
8,4096,16,0.5,1.5393,-0.78
8,4096,16,0.75,1.5441,-0.48
8,4096,16,1.0,1.6006,3.16
8,16384,16,0.0,6.0323,0.0
8,16384,16,0.25,5.9816,-0.84
8,16384,16,0.5,6.0204,-0.2
8,16384,16,0.75,6.0342,0.03
8,16384,16,1.0,5.9786,-0.89
